index,prenoms,sexe,nombre_prenoms_sexe,nombre_prenoms,proportion
200,antonio,M,11,11,1.0
201,antony,M,62,62,1.0
202,anya,F,44,44,1.0
203,apolline,F,826,826,1.0
204,appoline,F,7,7,1.0
205,archibald,M,13,13,1.0
206,arda,M,17,17,1.0
207,ari,M,44,44,1.0
208,ariane,F,193,193,1.0
209,arie,M,38,38,1.0
210,ariel,M,138,138,1.0
211,arielle,F,21,21,1.0
212,arij,F,5,5,1.0
213,aris,M,12,12,1.0
214,aristide,M,45,45,1.0
215,arman,M,6,6,1.0
216,armance,F,17,17,1.0
217,armand,M,466,466,1.0
218,armel,M,25,25,1.0
219,armelle,F,5,5,1.0
220,arnaud,M,257,257,1.0
221,arno,M,12,12,1.0
222,aron,M,15,15,1.0
223,arsène,M,262,262,1.0
224,artemis,F,5,5,1.0
225,arthur,M,4018,4018,1.0
226,arthus,M,71,71,1.0
227,arto,M,6,6,1.0
228,artus,M,42,42,1.0
229,arwa,F,5,5,1.0
230,arwen,F,24,24,1.0
231,ashley,F,120,120,1.0
232,asia,F,5,5,1.0
233,asma,F,182,182,1.0
234,asmaa,F,5,5,1.0
235,assa,F,98,98,1.0
236,assetou,F,7,7,1.0
237,assia,F,379,379,1.0
238,assil,F,13,13,1.0
239,assya,F,22,22,1.0
240,astou,F,5,5,1.0
241,astrid,F,219,219,1.0
242,athena,F,6,6,1.0
243,athenaïs,F,55,55,1.0
244,aubane,F,5,5,1.0
245,aubin,M,106,106,1.0
246,aude,F,97,97,1.0
247,audrey,F,331,331,1.0
248,auguste,M,218,218,1.0
249,augustin,M,1089,1089,1.0
250,augustine,F,60,60,1.0
251,aurel,M,11,11,1.0
252,aurelia,F,46,46,1.0
253,aurelie,F,105,105,1.0
254,aurelien,M,496,496,1.0
255,auriane,F,94,94,1.0
256,aurore,F,333,333,1.0
257,aurèle,M,169,169,1.0
258,aurélie,F,54,54,1.0
259,aurélien,M,215,215,1.0
260,auxence,M,6,6,1.0
261,ava,F,538,538,1.0
262,avi,M,23,23,1.0
263,aviel,M,7,7,1.0
264,avital,F,7,7,1.0
265,avril,F,38,38,1.0
266,awa,F,214,214,1.0
267,axel,M,1887,1887,1.0
268,axelle,F,396,396,1.0
269,aya,F,639,639,1.0
270,ayah,F,5,5,1.0
271,aydan,M,23,23,1.0
272,ayden,M,21,21,1.0
273,ayem,F,5,5,1.0
274,aylan,M,51,51,1.0
275,aylin,F,23,23,1.0
276,ayline,F,6,6,1.0
277,ayman,M,92,92,1.0
278,aymane,M,31,31,1.0
279,aymen,M,207,207,1.0
280,aymeric,M,271,271,1.0
281,ayoub,M,451,451,1.0
282,aziliz,F,7,7,1.0
283,aziz,M,13,13,1.0
284,aïcha,F,304,304,1.0
285,aïda,F,50,50,1.0
286,aïdan,M,24,24,1.0
287,aïna,F,5,5,1.0
288,aïsha,F,6,6,1.0
289,aïssa,F,11,11,1.0
290,aïssata,F,97,97,1.0
291,aïssatou,F,117,117,1.0
292,badis,M,26,26,1.0
293,bafode,M,5,5,1.0
294,bahia,F,12,12,1.0
295,bakary,M,84,84,1.0
296,balthazar,M,166,166,1.0
297,baptiste,M,2227,2227,1.0
298,barbara,F,54,54,1.0
299,barnabe,M,37,37,1.0
300,barthelemy,M,18,18,1.0
301,basil,M,5,5,1.0
302,basile,M,548,548,1.0
303,bastian,M,14,14,1.0
304,bastien,M,690,690,1.0
305,batiste,M,5,5,1.0
306,baudouin,M,29,29,1.0
307,baya,F,19,19,1.0
308,beatrice,F,30,30,1.0
309,bella,F,5,5,1.0
310,ben,M,76,76,1.0
311,benedicte,F,15,15,1.0
312,benjamin,M,1460,1460,1.0
313,benoit,M,6,6,1.0
314,benoît,M,162,162,1.0
315,berenice,F,240,240,1.0
316,bertille,F,127,127,1.0
317,beryl,F,6,6,1.0
318,bettina,F,17,17,1.0
319,betty,F,6,6,1.0
320,bianca,F,133,133,1.0
321,bilal,M,308,308,1.0
322,bilel,M,109,109,1.0
323,billie,F,19,19,1.0
324,binta,F,56,56,1.0
325,bintou,F,165,165,1.0
326,blaise,M,12,12,1.0
327,blanche,F,363,363,1.0
328,blandine,F,61,61,1.0
329,blessing,F,6,6,1.0
330,bleuenn,F,17,17,1.0
331,bogdan,M,5,5,1.0
332,bonnie,F,12,12,1.0
333,boris,M,45,45,1.0
334,boubacar,M,89,89,1.0
335,boubou,M,12,12,1.0
