index,prenoms,sexe,nombre_prenoms_sexe,nombre_prenoms,proportion
871,isabella,F,7,7,1.0
872,isabelle,F,122,122,1.0
873,isadora,F,5,5,1.0
874,isaure,F,221,221,1.0
875,isee,F,6,6,1.0
876,iseult,F,6,6,1.0
877,ishaq,M,6,6,1.0
878,isidore,M,14,14,1.0
879,isis,F,49,49,1.0
880,islam,M,8,8,1.0
881,ismael,M,92,92,1.0
882,ismail,M,6,6,1.0
883,ismaël,M,584,584,1.0
884,ismaïl,M,90,90,1.0
885,isra,F,33,33,1.0
886,israël,M,8,8,1.0
887,issa,M,196,196,1.0
888,issam,M,87,87,1.0
889,issiaka,M,5,5,1.0
890,ivan,M,137,137,1.0
891,iwan,M,5,5,1.0
892,iyad,M,43,43,1.0
893,iyed,M,43,43,1.0
894,izia,F,45,45,1.0
895,jack,M,47,47,1.0
896,jacob,M,29,29,1.0
897,jacqueline,F,5,5,1.0
898,jacques,M,184,184,1.0
899,jad,M,102,102,1.0
900,jade,F,2770,2770,1.0
901,jaden,M,29,29,1.0
902,jalil,M,26,26,1.0
903,james,M,155,155,1.0
904,jan,M,14,14,1.0
905,jana,F,80,80,1.0
906,jane,F,20,20,1.0
907,janelle,F,7,7,1.0
908,janna,F,64,64,1.0
909,jarod,M,22,22,1.0
910,jasmine,F,249,249,1.0
911,jason,M,148,148,1.0
912,jassem,M,5,5,1.0
913,jawad,M,38,38,1.0
914,jawed,M,5,5,1.0
915,jayden,M,25,25,1.0
916,jayson,M,20,20,1.0
917,jean,M,964,964,1.0
918,jean-baptiste,M,192,192,1.0
919,jean-marc,M,7,7,1.0
920,jeanne,F,2584,2584,1.0
921,jehanne,F,5,5,1.0
922,jenna,F,85,85,1.0
923,jennifer,F,31,31,1.0
924,jenny,F,13,13,1.0
925,jeremie,M,151,151,1.0
926,jeremy,M,272,272,1.0
927,jerôme,M,41,41,1.0
928,jessica,F,231,231,1.0
929,jessie,F,6,6,1.0
930,jibril,M,44,44,1.0
931,jihane,F,13,13,1.0
932,jim,M,9,9,1.0
933,jimmy,M,55,55,1.0
934,jinane,F,5,5,1.0
935,joachim,M,261,261,1.0
936,joakim,M,14,14,1.0
937,joan,M,96,96,1.0
938,joana,F,86,86,1.0
939,joanna,F,15,15,1.0
940,joanne,F,11,11,1.0
941,joaquim,M,46,46,1.0
942,joe,M,11,11,1.0
943,joey,M,39,39,1.0
944,johan,M,297,297,1.0
945,johann,M,51,51,1.0
946,johanna,F,82,82,1.0
947,john,M,68,68,1.0
948,johnny,M,6,6,1.0
949,jonah,M,18,18,1.0
950,jonas,M,192,192,1.0
951,jonathan,M,334,334,1.0
952,jordan,M,251,251,1.0
953,joris,M,106,106,1.0
954,joseph,M,1058,1058,1.0
955,josephine,F,649,649,1.0
956,josh,M,24,24,1.0
957,joshua,M,407,407,1.0
958,josue,M,31,31,1.0
959,joséphine,F,138,138,1.0
960,joy,F,24,24,1.0
961,joyce,F,57,57,1.0
962,joël,M,46,46,1.0
963,joëlle,F,6,6,1.0
964,juan,M,11,11,1.0
965,jude,M,22,22,1.0
966,judith,F,213,213,1.0
967,jules,M,3374,3374,1.0
968,julia,F,1209,1209,1.0
969,julian,M,347,347,1.0
970,juliana,F,12,12,1.0
971,juliann,M,5,5,1.0
972,julianne,F,6,6,1.0
973,julie,F,1630,1630,1.0
974,julien,M,1433,1433,1.0
975,juliette,F,2595,2595,1.0
976,juline,F,6,6,1.0
977,june,F,46,46,1.0
978,junior,M,5,5,1.0
979,junon,F,12,12,1.0
980,justin,M,224,224,1.0
981,justine,F,1077,1077,1.0
982,jérémie,M,24,24,1.0
983,jérémy,M,185,185,1.0
984,kacper,M,6,6,1.0
985,kadiatou,F,77,77,1.0
986,kadidia,F,12,12,1.0
987,kadidiatou,F,31,31,1.0
988,kady,F,22,22,1.0
989,kahina,F,48,48,1.0
990,kamel,M,7,7,1.0
991,kamelia,F,5,5,1.0
992,kamil,M,81,81,1.0
993,kamila,F,8,8,1.0
994,karamba,M,7,7,1.0
995,karamoko,M,6,6,1.0
996,karen,F,6,6,1.0
997,karim,M,173,173,1.0
998,karine,F,29,29,1.0
999,karl,M,116,116,1.0
1000,karla,F,6,6,1.0
1001,karolina,F,13,13,1.0
1002,kassim,M,6,6,1.0
1003,kate,F,6,6,1.0
1004,katell,F,27,27,1.0
1005,kathleen,F,6,6,1.0
1006,katia,F,51,51,1.0
1007,kawtar,F,16,16,1.0
1008,kayla,F,12,12,1.0
1009,kayliah,F,6,6,1.0
1010,kayna,F,13,13,1.0
1011,kays,M,6,6,1.0
1012,kaïna,F,12,12,1.0
1013,kaïs,M,296,296,1.0
1014,keira,F,5,5,1.0
1015,kelly,F,212,212,1.0
1016,kelvin,M,6,6,1.0
1017,kelya,F,5,5,1.0
1018,kelyan,M,57,57,1.0
1019,kenan,M,11,11,1.0
1020,kenny,M,66,66,1.0
1021,kentin,M,6,6,1.0
1022,kenza,F,465,465,1.0
1023,kenzi,M,25,25,1.0
1024,kenzo,M,299,299,1.0
1025,kenzy,M,17,17,1.0
1026,kerem,M,6,6,1.0
1027,keren,F,72,72,1.0
1028,ketsia,F,14,14,1.0
1029,kevin,M,562,562,1.0
1030,keyla,F,5,5,1.0
1031,khadidiatou,F,5,5,1.0
1032,khadidja,F,39,39,1.0
1033,khadija,F,121,121,1.0
1034,khady,F,12,12,1.0
1035,khalil,M,61,61,1.0
1036,kheira,F,11,11,1.0
1037,kiara,F,116,116,1.0
1038,kilian,M,241,241,1.0
1039,killian,M,356,356,1.0
1040,kilyan,M,18,18,1.0
1041,kim,F,102,102,1.0
1042,klara,F,28,28,1.0
1043,klervi,F,7,7,1.0
1044,kyle,M,14,14,1.0
1045,kylian,M,721,721,1.0
1046,kyliann,M,6,6,1.0
1047,kyllian,M,138,138,1.0
1048,kélia,F,15,15,1.0
1049,kélian,M,5,5,1.0
1050,kélya,F,11,11,1.0
1051,kévin,M,128,128,1.0
1052,ladji,M,14,14,1.0
1053,laetitia,F,161,161,1.0
1054,lahna,F,46,46,1.0
1055,lalie,F,72,72,1.0
1056,laly,F,44,44,1.0
1057,lamia,F,19,19,1.0
1058,lamine,M,88,88,1.0
1059,lana,F,526,526,1.0
1060,lancelot,M,40,40,1.0
1061,lara,F,220,220,1.0
1062,lassana,M,100,100,1.0
1063,laszlo,M,8,8,1.0
1064,latifa,F,6,6,1.0
1065,laura,F,1384,1384,1.0
1066,laure,F,212,212,1.0
1067,lauren,F,46,46,1.0
1068,laurent,M,98,98,1.0
1069,lauriane,F,25,25,1.0
1070,laurie,F,22,22,1.0
1071,laurine,F,140,140,1.0
1072,lauryn,F,6,6,1.0
1073,lauryne,F,20,20,1.0
1074,laurène,F,20,20,1.0
1075,layana,F,5,5,1.0
1076,lazar,M,7,7,1.0
1077,lazare,M,53,53,1.0
1078,laëtitia,F,62,62,1.0
1079,lea,F,1631,1631,1.0
1080,leana,F,87,87,1.0
1081,leandre,M,140,140,1.0
1082,leandro,M,42,42,1.0
1083,leane,F,187,187,1.0
1084,leanne,F,6,6,1.0
1085,leelou,F,19,19,1.0
1086,lehna,F,15,15,1.0
1087,leila,F,13,13,1.0
1088,lena,F,849,849,1.0
1089,leni,F,15,15,1.0
1090,lenny,M,738,738,1.0
1091,leny,M,76,76,1.0
1092,lenzo,M,6,6,1.0
1093,leo,M,1196,1196,1.0
1094,leo-paul,M,20,20,1.0
1095,leon,M,394,394,1.0
1096,leonard,M,405,405,1.0
1097,leonardo,M,56,56,1.0
1098,leonie,F,407,407,1.0
1099,leonor,F,16,16,1.0
1100,leonore,F,113,113,1.0
1101,leontine,F,5,5,1.0
1102,leopold,M,261,261,1.0
1103,leopoldine,F,61,61,1.0
1104,leslie,F,23,23,1.0
1105,leticia,F,5,5,1.0
1106,levana,F,24,24,1.0
1107,levi,M,16,16,1.0
1108,leyla,F,11,11,1.0
1109,leyna,F,41,41,1.0
1110,leïa,F,6,6,1.0
1111,leïla,F,199,199,1.0
1112,leïna,F,20,20,1.0
1113,lia,F,88,88,1.0
1114,liam,M,860,860,1.0
1115,liana,F,19,19,1.0
1116,lila,F,631,631,1.0
1117,lilas,F,124,124,1.0
1118,lili,F,321,321,1.0
1119,lili-rose,F,17,17,1.0
1120,lilia,F,411,411,1.0
1121,lilian,M,571,571,1.0
1122,liliana,F,8,8,1.0
1123,liliane,F,17,17,1.0
1124,lilie,F,42,42,1.0
1125,lilly,F,109,109,1.0
1126,lilou,F,1310,1310,1.0
1127,liloue,F,7,7,1.0
1128,lilwenn,F,34,34,1.0
1129,lily,F,824,824,1.0
1130,lily-rose,F,106,106,1.0
1131,lilya,F,109,109,1.0
1132,lina,F,1991,1991,1.0
1133,linda,F,98,98,1.0
1134,lindsay,F,66,66,1.0
1135,line,F,95,95,1.0
1136,lino,M,201,201,1.0
1137,linoy,F,5,5,1.0
1138,linoï,F,23,23,1.0
1139,lior,M,92,92,1.0
1140,liora,F,83,83,1.0
1141,lirone,M,16,16,1.0
1142,lisa,F,1852,1852,1.0
1143,lisandro,M,17,17,1.0
1144,lise,F,684,684,1.0
1145,lison,F,323,323,1.0
1146,lital,F,7,7,1.0
1147,liv,F,101,101,1.0
1148,livia,F,126,126,1.0
1149,livio,M,11,11,1.0
1150,liya,F,25,25,1.0
1151,liyah,F,5,5,1.0
1152,liz,F,12,12,1.0
1153,liza,F,38,38,1.0
1154,lizéa,F,5,5,1.0
1156,loan,M,263,276,0.952898550725
1157,loane,F,262,262,1.0
1158,loann,M,12,12,1.0
1159,logan,M,80,80,1.0
1160,lohan,M,64,64,1.0
1161,lola,F,2066,2066,1.0
1162,lorena,F,6,6,1.0
1163,lorenzo,M,637,637,1.0
1164,loris,M,217,217,1.0
1165,lorraine,F,15,15,1.0
1166,lou,F,1888,1893,0.99735868991
1168,lou-ann,F,226,226,1.0
1169,lou-anne,F,172,172,1.0
1170,louan,M,5,5,1.0
1171,louane,F,488,488,1.0
1172,louann,F,71,71,1.0
1173,louanne,F,50,50,1.0
1174,louay,M,7,7,1.0
1175,loubna,F,29,29,1.0
1176,louca,M,27,27,1.0
1177,louis,M,4117,4117,1.0
1178,louis-marie,F,6,6,1.0
1179,louisa,F,306,306,1.0
1180,louise,F,4076,4076,1.0
1181,louison,F,230,254,0.905511811024
1183,louka,M,281,281,1.0
1184,loula,F,6,6,1.0
1185,louna,F,855,855,1.0
1186,lounis,M,11,11,1.0
1187,loup,M,26,26,1.0
1188,loïc,M,458,458,1.0
1189,loïck,M,5,5,1.0
1191,loïs,M,156,172,0.906976744186
1192,loïse,F,11,11,1.0
1193,lubin,M,84,84,1.0
1194,luc,M,280,280,1.0
1195,luca,M,518,518,1.0
1196,lucas,M,3979,3979,1.0
1197,luce,F,98,98,1.0
1198,lucia,F,97,97,1.0
1199,lucie,F,2356,2356,1.0
1200,lucien,M,563,563,1.0
1201,lucile,F,529,529,1.0
1202,lucille,F,104,104,1.0
1203,lucy,F,92,92,1.0
1204,ludivine,F,238,238,1.0
1205,ludmila,F,28,28,1.0
1206,ludovic,M,99,99,1.0
1207,luigi,M,11,11,1.0
1208,luis,M,29,29,1.0
1209,luisa,F,13,13,1.0
1210,luka,M,309,309,1.0
1211,lukas,M,206,206,1.0
1212,luke,M,17,17,1.0
1213,lula,F,6,6,1.0
1214,luna,F,880,880,1.0
1215,luz,F,13,13,1.0
1216,lya,F,114,114,1.0
1217,lyam,M,48,48,1.0
1218,lyana,F,17,17,1.0
1219,lydia,F,116,116,1.0
1220,lyes,M,37,37,1.0
1221,lyla,F,7,7,1.0
1222,lylia,F,56,56,1.0
1223,lylou,F,81,81,1.0
1224,lyna,F,365,365,1.0
1225,lyne,F,13,13,1.0
1226,lynn,F,13,13,1.0
1227,léa,F,1755,1755,1.0
1228,léana,F,136,136,1.0
1229,léandre,M,71,71,1.0
1230,léandro,M,16,16,1.0
1231,léane,F,255,255,1.0
1232,léia,F,5,5,1.0
1233,léna,F,884,884,1.0
1234,léni,M,12,12,1.0
1235,lény,M,7,7,1.0
1236,léo,M,1507,1507,1.0
1237,léon,M,233,233,1.0
1238,léonard,M,67,67,1.0
1239,léonie,F,535,535,1.0
1240,léonore,F,6,6,1.0
1241,léopold,M,43,43,1.0
1242,maayane,F,6,6,1.0
1243,maceo,M,80,80,1.0
1244,macéo,M,17,17,1.0
1245,madeleine,F,397,397,1.0
1246,madina,F,12,12,1.0
1247,mady,F,6,6,1.0
1248,mae,F,109,109,1.0
1249,mael,M,136,136,1.0
1250,maelle,F,23,23,1.0
1251,maelys,F,99,99,1.0
1252,maeva,F,271,271,1.0
1253,magdalena,F,15,15,1.0
1254,mahamadou,M,119,119,1.0
1255,mahault,F,56,56,1.0
1256,mahaut,F,125,125,1.0
1257,mahdi,M,22,22,1.0
1258,mahe,M,101,101,1.0
1259,mahmoud,M,14,14,1.0
1260,mahé,M,37,37,1.0
1261,mai,F,8,8,1.0
1262,maia,F,10,10,1.0
1263,makan,M,9,9,1.0
1264,maksim,M,6,6,1.0
1265,malak,F,109,109,1.0
1266,malcolm,M,17,17,1.0
1267,malek,F,55,55,1.0
1268,malia,F,40,40,1.0
1269,malick,M,36,36,1.0
1270,malik,M,168,168,1.0
1271,malika,F,8,8,1.0
1272,malo,M,808,808,1.0
1273,malone,M,31,31,1.0
1274,malorie,F,5,5,1.0
1275,malou,F,7,7,1.0
1276,mamadou,M,329,329,1.0
1277,mamoudou,M,16,16,1.0
1278,manal,F,7,7,1.0
1279,manar,M,6,6,1.0
1280,manel,F,372,372,1.0
1281,manelle,F,56,56,1.0
1282,manil,M,5,5,1.0
1283,manon,F,3349,3349,1.0
1284,manuel,M,21,21,1.0
1285,manuela,F,21,21,1.0
1286,mara,F,5,5,1.0
1287,marc,M,357,357,1.0
1288,marc-antoine,M,22,22,1.0
1289,marceau,M,218,218,1.0
1290,marcel,M,87,87,1.0
1291,marco,M,118,118,1.0
1292,marcus,M,118,118,1.0
1293,margaux,F,1347,1347,1.0
1294,margo,F,8,8,1.0
1295,margot,F,1328,1328,1.0
1296,marguerite,F,216,216,1.0
1297,maria,F,302,302,1.0
1298,mariam,F,380,380,1.0
1299,mariama,F,113,113,1.0
1300,mariame,F,77,77,1.0
1301,marianne,F,146,146,1.0
1302,marie,F,2199,2199,1.0
1303,marie-ange,F,5,5,1.0
1304,marie-lou,F,49,49,1.0
1305,mariem,F,5,5,1.0
1306,marilou,F,200,200,1.0
1307,marin,M,336,336,1.0
1308,marina,F,185,185,1.0
1309,marine,F,703,703,1.0
1310,mario,M,26,26,1.0
1311,marion,F,856,856,1.0
1312,marius,M,913,913,1.0
1313,marjane,F,20,20,1.0
1314,marjorie,F,6,6,1.0
1315,mark,M,6,6,1.0
1316,marko,M,45,45,1.0
1317,marley,M,43,43,1.0
1318,marlon,M,25,25,1.0
1319,marnie,F,6,6,1.0
1320,marouane,M,27,27,1.0
1321,martha,F,5,5,1.0
1322,marthe,F,60,60,1.0
1323,martin,M,1868,1868,1.0
1324,marvin,M,102,102,1.0
1325,marwa,F,219,219,1.0
1326,marwan,M,199,199,1.0
1327,marwane,M,80,80,1.0
1328,marwen,F,7,7,1.0
1329,maryam,F,203,203,1.0
1330,marylou,F,67,67,1.0
1331,massinissa,M,7,7,1.0
1332,mateja,M,12,12,1.0
1333,mateo,M,281,281,1.0
1334,matheo,M,378,378,1.0
1335,mathias,M,736,736,1.0
1336,mathieu,M,1144,1144,1.0
1337,mathilda,F,46,46,1.0
1338,mathilde,F,2282,2282,1.0
1339,mathis,M,2633,2633,1.0
1340,mathurin,M,61,61,1.0
1341,mathys,M,703,703,1.0
1342,mathéo,M,893,893,1.0
1343,matias,M,73,73,1.0
1344,matilda,F,13,13,1.0
1345,matilde,F,7,7,1.0
1346,matis,M,207,207,1.0
1347,matisse,M,95,95,1.0
1348,matt,M,26,26,1.0
1349,matteo,M,733,733,1.0
1350,mattheo,M,6,6,1.0
1351,matthew,M,34,34,1.0
1352,matthias,M,241,241,1.0
1353,matthieu,M,893,893,1.0
1354,matthis,M,11,11,1.0
1355,matthéo,M,5,5,1.0
1356,mattia,M,13,13,1.0
1357,mattis,M,9,9,1.0
1358,mattéo,M,549,549,1.0
1359,matys,M,50,50,1.0
1360,matéo,M,372,372,1.0
1361,maud,F,224,224,1.0
1362,maude,F,9,9,1.0
1363,maureen,F,14,14,1.0
1364,max,M,432,432,1.0
1365,maxance,M,5,5,1.0
1366,maxence,M,1602,1602,1.0
1367,maxens,M,5,5,1.0
1368,maxim,M,101,101,1.0
1369,maxime,M,3428,3428,1.0
1370,maximilian,M,7,7,1.0
1371,maximilien,M,242,242,1.0
1372,maxine,F,51,51,1.0
1373,may,F,23,23,1.0
1374,maya,F,864,864,1.0
1375,mayane,F,7,7,1.0
1376,mayar,F,5,5,1.0
1377,mayeul,M,90,90,1.0
1378,mayline,F,7,7,1.0
1379,maylis,F,202,202,1.0
1380,mayron,M,6,6,1.0
1381,mayssa,F,102,102,1.0
1382,maé,F,39,62,0.629032258065
1384,maélie,F,6,6,1.0
1385,maélis,F,6,6,1.0
1386,maéva,F,87,87,1.0
1387,maël,M,1443,1443,1.0
1388,maëlia,F,5,5,1.0
1389,maëlie,F,66,66,1.0
1390,maëline,F,30,30,1.0
1391,maëlis,F,25,25,1.0
1392,maëlle,F,759,759,1.0
1393,maëly,F,14,14,1.0
1394,maëlya,F,5,5,1.0
1395,maëlyne,F,12,12,1.0
1396,maëlys,F,1154,1154,1.0
1397,maëva,F,362,362,1.0
1398,maï,F,5,5,1.0
1399,maïa,F,386,386,1.0
1400,maïly,F,18,18,1.0
1401,maïlys,F,262,262,1.0
1402,maïmouna,F,144,144,1.0
1403,maïna,F,16,16,1.0
1404,maïssa,F,321,321,1.0
1405,maïssane,F,48,48,1.0
1406,maïwenn,F,208,208,1.0
1407,mehdi,M,679,679,1.0
1408,mehmet,M,7,7,1.0
1409,melanie,F,163,163,1.0
1410,melchior,M,78,78,1.0
1411,melia,F,19,19,1.0
1412,melina,F,284,284,1.0
1413,melinda,F,6,6,1.0
1414,meline,F,107,107,1.0
1415,melissa,F,555,555,1.0
1416,mellina,F,56,56,1.0
1417,melodie,F,62,62,1.0
1418,melody,F,27,27,1.0
1419,melusine,F,5,5,1.0
1420,melvil,M,93,93,1.0
1421,melvin,M,172,172,1.0
1422,melvyn,M,64,64,1.0
1423,menahem,M,18,18,1.0
1424,mendel,M,21,21,1.0
1425,meriem,F,63,63,1.0
1426,merlin,M,126,126,1.0
1427,merwan,M,7,7,1.0
1428,meryam,F,18,18,1.0
1429,meryem,F,21,21,1.0
1430,meryl,F,9,9,1.0
1431,meïssa,F,19,19,1.0
1432,mia,F,276,276,1.0
1433,michael,M,36,36,1.0
1434,michaël,M,36,36,1.0
1435,michel,M,99,99,1.0
1436,michelle,F,27,27,1.0
1437,mickael,M,29,29,1.0
1438,mickaël,M,167,167,1.0
1439,miguel,M,34,34,1.0
1440,mika,M,12,12,1.0
1441,mikail,M,14,14,1.0
1442,mikaïl,M,5,5,1.0
1443,mike,M,7,7,1.0
1444,mila,F,735,735,1.0
1445,milan,M,354,354,1.0
1446,milena,F,49,49,1.0
1447,milhan,M,16,16,1.0
1448,milla,F,74,74,1.0
1449,milo,M,516,516,1.0
1450,mina,F,198,198,1.0
1451,minh,M,14,14,1.0
1452,mira,F,5,5,1.0
1453,miya,F,11,11,1.0
1454,moche,M,5,5,1.0
1455,modibo,M,6,6,1.0
1456,mody,M,14,14,1.0
1457,mohamed,M,2095,2095,1.0
1458,mohamed-ali,M,13,13,1.0
1459,mohamed-amine,M,146,146,1.0
1460,mohammad,M,6,6,1.0
1461,mohammed,M,194,194,1.0
1462,mona,F,184,184,1.0
1463,monica,F,10,10,1.0
1464,morgan,M,202,202,1.0
1465,morgane,F,612,612,1.0
1466,mory,M,6,6,1.0
1467,mouctar,M,5,5,1.0
1468,mouhamadou,M,5,5,1.0
1469,mouhamed,M,71,71,1.0
1470,mounir,M,6,6,1.0
1471,moussa,M,299,299,1.0
1472,moustafa,M,7,7,1.0
1473,moustapha,M,81,81,1.0
1474,moïra,F,13,13,1.0
1475,moïse,M,22,22,1.0
1476,muhammad,M,6,6,1.0
1477,muhammed,M,5,5,1.0
1478,mustafa,M,6,6,1.0
1479,mustapha,M,6,6,1.0
1480,mya,F,38,38,1.0
1481,myriam,F,554,554,1.0
1482,myrtille,F,14,14,1.0
1483,mélanie,F,112,112,1.0
1484,mélia,F,10,10,1.0
1485,mélina,F,255,255,1.0
1486,mélinda,F,12,12,1.0
1487,méline,F,166,166,1.0
1488,mélissa,F,416,416,1.0
1489,mélodie,F,11,11,1.0
1490,nabil,M,87,87,1.0
1491,nada,F,72,72,1.0
1492,nadia,F,73,73,1.0
1493,nadine,F,18,18,1.0
1494,nadir,M,79,79,1.0
1495,nael,M,177,177,1.0
1496,nahel,M,88,88,1.0
1497,nahil,M,52,52,1.0
1498,nahla,F,8,8,1.0
1499,nala,F,5,5,1.0
1500,naomi,F,283,283,1.0
1501,naomie,F,150,150,1.0
1502,nassim,M,368,368,1.0
1503,natacha,F,59,59,1.0
1504,natalia,F,47,47,1.0
1505,natan,M,16,16,1.0
1506,natasha,F,6,6,1.0
1507,nathalie,F,73,73,1.0
1508,nathan,M,3418,3418,1.0
1509,nathanael,M,9,9,1.0
1510,nathanaël,M,307,307,1.0
1511,nathaniel,M,38,38,1.0
1512,nathaël,M,25,25,1.0
1513,nawal,F,7,7,1.0
1514,nawel,F,138,138,1.0
1515,nawfel,M,11,11,1.0
1516,naya,F,29,29,1.0
1517,nayel,M,6,6,1.0
1518,nayla,F,71,71,1.0
1519,nazim,M,7,7,1.0
1520,naël,M,524,524,1.0
1521,naëlle,F,71,71,1.0
1522,naïa,F,12,12,1.0
1523,naïl,M,22,22,1.0
1524,naïla,F,99,99,1.0
1525,naïm,M,171,171,1.0
1526,naïma,F,12,12,1.0
1527,naïs,F,39,39,1.0
1528,neela,F,6,6,1.0
1529,neil,M,100,100,1.0
1530,nelia,F,41,41,1.0
1531,nell,F,108,108,1.0
1532,nelly,F,60,60,1.0
1533,nelson,M,88,88,1.0
1534,nelya,F,17,17,1.0
1535,nene,F,7,7,1.0
1536,neo,M,6,6,1.0
1537,nermine,F,6,6,1.0
1538,nesrine,F,142,142,1.0
1539,neyla,F,43,43,1.0
1540,neïla,F,66,66,1.0
1541,niame,F,5,5,1.0
1542,nicolas,M,1403,1403,1.0
1543,nicole,F,64,64,1.0
1544,niels,M,122,122,1.0
1545,nikita,M,50,50,1.0
1546,nikola,M,76,76,1.0
1547,nil,M,32,32,1.0
1548,nils,M,316,316,1.0
1549,nina,F,1616,1616,1.0
1550,nine,F,79,79,1.0
1551,nino,M,583,583,1.0
1552,ninon,F,482,482,1.0
1553,niouma,F,24,24,1.0
1554,nisa,F,6,6,1.0
1555,nizar,M,40,40,1.0
1556,noa,F,779,1432,0.543994413408
1558,noah,M,2079,2079,1.0
1559,noam,M,747,747,1.0
1560,noan,M,8,8,1.0
1561,noe,M,833,833,1.0
1562,noelie,F,29,29,1.0
1563,noemie,F,708,708,1.0
1564,noha,M,5,5,1.0
1565,noham,M,250,250,1.0
1566,nohan,M,14,14,1.0
1567,nola,F,24,24,1.0
1568,nolan,M,974,974,1.0
1569,nolann,M,150,150,1.0
1570,nolhan,M,115,115,1.0
1571,nolwenn,F,45,45,1.0
1572,noor,F,63,63,1.0
1573,nora,F,359,359,1.0
1574,norah,F,235,235,1.0
1575,nouha,M,12,12,1.0
1576,nour,F,543,543,1.0
1577,noura,F,20,20,1.0
1578,nourane,F,9,9,1.0
1579,noâm,M,5,5,1.0
1580,noé,M,706,706,1.0
1581,noélie,F,51,51,1.0
1582,noémie,F,656,656,1.0
1583,noëmie,F,6,6,1.0
1584,nélia,F,9,9,1.0
1585,oceane,F,506,506,1.0
1586,octave,M,311,311,1.0
1587,océane,F,725,725,1.0
1588,odelia,F,19,19,1.0
1589,olga,F,52,52,1.0
1590,oliver,M,12,12,1.0
1591,olivia,F,731,731,1.0
1592,olivier,M,257,257,1.0
1593,oliwia,F,5,5,1.0
1594,olympe,F,96,96,1.0
1595,olympia,F,6,6,1.0
1596,omar,M,223,223,1.0
1597,ombeline,F,86,86,1.0
1598,ondine,F,21,21,1.0
1599,ophelie,F,41,41,1.0
1600,ophélie,F,28,28,1.0
1601,orane,F,6,6,1.0
1602,oren,M,46,46,1.0
1603,oriane,F,197,197,1.0
1604,orlane,F,89,89,1.0
1605,ornella,F,110,110,1.0
1606,oscar,M,1395,1395,1.0
1607,oskar,M,8,8,1.0
1608,otto,M,6,6,1.0
1609,oumar,M,113,113,1.0
1610,oumou,F,145,145,1.0
1611,ousmane,M,150,150,1.0
1612,oussama,M,12,12,1.0
1613,owen,M,288,288,1.0
1614,pablo,M,569,569,1.0
1615,paco,M,30,30,1.0
1616,pacôme,M,87,87,1.0
1617,paloma,F,373,373,1.0
1618,paola,F,187,187,1.0
1619,paolo,M,160,160,1.0
1620,pascal,M,23,23,1.0
1621,patricia,F,20,20,1.0
1622,patrick,M,58,58,1.0
1623,paul,M,3860,3860,1.0
1624,paul-antoine,M,7,7,1.0
1625,paul-arthur,M,5,5,1.0
1626,paula,F,33,33,1.0
1627,paulin,M,15,15,1.0
1628,pauline,F,1756,1756,1.0
1629,pedro,M,7,7,1.0
1630,penda,F,8,8,1.0
1631,penelope,F,210,210,1.0
1632,perla,F,18,18,1.0
1633,perle,F,6,6,1.0
1634,perrine,F,122,122,1.0
1635,peter,M,5,5,1.0
1636,petronille,F,6,6,1.0
1637,pharell,M,7,7,1.0
1638,phileas,M,14,14,1.0
1639,philemon,M,30,30,1.0
1640,philippe,M,149,149,1.0
1641,philippine,F,206,206,1.0
1642,philomène,F,110,110,1.0
1643,pia,F,116,116,1.0
1644,pierre,M,1706,1706,1.0
1645,pierre-alexandre,M,6,6,1.0
1646,pierre-antoine,M,21,21,1.0
1647,pierre-louis,M,80,80,1.0
1648,pol,M,11,11,1.0
1649,preston,M,7,7,1.0
1650,prince,M,12,12,1.0
1651,prisca,F,18,18,1.0
1652,priscille,F,40,40,1.0
1653,prosper,M,5,5,1.0
1654,prudence,F,5,5,1.0
1655,prune,F,187,187,1.0
1656,pénélope,F,32,32,1.0
1657,quentin,M,1897,1897,1.0
1658,quitterie,F,58,58,1.0
1659,rachel,F,289,289,1.0
1660,rafael,M,376,376,1.0
1661,rafaël,M,288,288,1.0
1662,rahma,F,70,70,1.0
1663,ramata,F,13,13,1.0
1664,rami,M,41,41,1.0
1665,ramy,M,14,14,1.0
1666,rania,F,290,290,1.0
1667,ranim,F,5,5,1.0
1668,ranya,F,38,38,1.0
1669,raoul,M,20,20,1.0
1670,raphael,M,183,183,1.0
1671,raphaël,M,4011,4011,1.0
1672,raphaëlle,F,249,249,1.0
1673,rawane,F,6,6,1.0
1674,rayan,M,1808,1808,1.0
1675,rayane,M,524,524,1.0
1676,rayen,M,10,10,1.0
1677,rebecca,F,220,220,1.0
1678,reda,M,42,42,1.0
1679,remi,M,248,248,1.0
1680,remy,M,75,75,1.0
1681,riad,M,7,7,1.0
1682,ricardo,M,6,6,1.0
1683,richard,M,50,50,1.0
1684,rim,F,15,15,1.0
1685,rita,F,80,80,1.0
1686,rivka,F,13,13,1.0
1687,riyad,M,59,59,1.0
1688,robert,M,6,6,1.0
1689,robin,M,1006,1006,1.0
1690,robinson,M,97,97,1.0
1691,rodrigue,M,57,57,1.0
1692,rohan,M,7,7,1.0
1693,rokia,F,37,37,1.0
1694,romain,M,1823,1823,1.0
1695,roman,M,427,427,1.0
1696,romane,F,2057,2057,1.0
1697,romeo,M,204,204,1.0
1698,romy,F,331,331,1.0
1699,roméo,M,82,82,1.0
1700,ron,M,6,6,1.0
1701,ronan,M,63,63,1.0
